#K-Path  Band-1   Band-2   Band-3   Band-4      ...   Band-n
  0.0000  -15.2180  -15.1197  -15.1197  -15.0547  -15.0547  -11.2491   -6.9435   -1.3920   -1.3920    0.6287    4.3423    4.3423    7.3243
  0.0507  -15.2175  -15.1198  -15.1198  -15.0548  -15.0548  -11.2698   -6.9066   -1.3865   -1.3865    0.6343    4.3454    4.3454    7.3276
  0.1014  -15.2163  -15.1201  -15.1201  -15.0552  -15.0552  -11.3296   -6.7982   -1.3700   -1.3700    0.6512    4.3541    4.3541    7.3346
  0.1521  -15.2140  -15.1207  -15.1207  -15.0554  -15.0554  -11.4226   -6.6244   -1.3425   -1.3425    0.6792    4.3672    4.3672    7.3353
  0.2028  -15.2108  -15.1213  -15.1213  -15.0558  -15.0558  -11.5406   -6.3936   -1.3045   -1.3045    0.7180    4.3820    4.3820    7.3057
  0.2534  -15.2072  -15.1222  -15.1222  -15.0565  -15.0565  -11.6756   -6.1142   -1.2561   -1.2561    0.7672    4.3951    4.3951    7.1986
  0.3041  -15.2026  -15.1232  -15.1232  -15.0570  -15.0570  -11.8202   -5.7940   -1.1978   -1.1978    0.8260    4.4020    4.4020    6.9669
  0.3548  -15.1972  -15.1244  -15.1244  -15.0574  -15.0574  -11.9685   -5.4397   -1.1302   -1.1302    0.8933    4.3973    4.3973    6.6246
  0.4055  -15.1911  -15.1258  -15.1258  -15.0578  -15.0578  -12.1156   -5.0568   -1.0542   -1.0542    0.9674    4.3757    4.3757    6.2237
  0.4562  -15.1848  -15.1273  -15.1273  -15.0580  -15.0580  -12.2578   -4.6497   -0.9708   -0.9708    1.0457    4.3325    4.3325    5.8017
  0.5069  -15.1784  -15.1291  -15.1291  -15.0582  -15.0582  -12.3925   -4.2226   -0.8813   -0.8813    1.1241    4.2650    4.2650    5.3786
  0.5576  -15.1719  -15.1307  -15.1307  -15.0584  -15.0584  -12.5173   -3.7790   -0.7873   -0.7873    1.1962    4.1741    4.1741    4.9671
  0.6083  -15.1654  -15.1324  -15.1324  -15.0585  -15.0585  -12.6306   -3.3221   -0.6911   -0.6911    1.2522    4.0637    4.0637    4.5789
  0.6589  -15.1598  -15.1343  -15.1343  -15.0587  -15.0587  -12.7312   -2.8555   -0.5954   -0.5954    1.2771    3.9407    3.9407    4.2273
  0.7096  -15.1542  -15.1358  -15.1358  -15.0587  -15.0587  -12.8178   -2.3826   -0.5033   -0.5033    1.2509    3.8141    3.8141    3.9296
  0.7603  -15.1492  -15.1371  -15.1371  -15.0586  -15.0586  -12.8898   -1.9076   -0.4189   -0.4189    1.1512    3.6932    3.6932    3.7030
  0.8110  -15.1451  -15.1382  -15.1382  -15.0586  -15.0586  -12.9464   -1.4355   -0.3463   -0.3463    0.9641    3.5549    3.5872    3.5872
  0.8617  -15.1420  -15.1392  -15.1392  -15.0587  -15.0587  -12.9872   -0.9732   -0.2903   -0.2903    0.6937    3.4755    3.5044    3.5044
  0.9124  -15.1406  -15.1398  -15.1398  -15.0588  -15.0588  -13.0118   -0.5355   -0.2547   -0.2547    0.3638    3.4420    3.4517    3.4517
  0.9631  -15.1400  -15.1400  -15.1399  -15.0588  -15.0588  -13.0200   -0.2425   -0.2425   -0.2425    0.1054    3.4337    3.4337    3.4337
  0.9631  -15.1400  -15.1400  -15.1399  -15.0588  -15.0588  -13.0200   -0.2425   -0.2425   -0.2425    0.1054    3.4337    3.4337    3.4337
  1.0216  -15.1410  -15.1396  -15.1396  -15.0589  -15.0587  -13.0091   -0.5732   -0.2804   -0.2804    0.4345    3.3898    3.4849    3.4849
  1.0801  -15.1438  -15.1383  -15.1382  -15.0589  -15.0584  -12.9762   -1.0304   -0.3876   -0.3876    0.8851    3.2683    3.6321    3.6321
  1.1387  -15.1487  -15.1368  -15.1368  -15.0596  -15.0580  -12.9219   -1.4943   -0.5487   -0.5487    1.3309    3.0937    3.8593    3.8594
  1.1972  -15.1549  -15.1345  -15.1345  -15.0605  -15.0571  -12.8464   -1.9563   -0.7457   -0.7457    1.7490    2.8957    4.1487    4.1487
  1.2557  -15.1624  -15.1320  -15.1319  -15.0619  -15.0565  -12.7505   -2.4141   -0.9633   -0.9633    2.0959    2.7196    4.4842    4.4842
