#K-Path     Band-1    Band-2    Band-3    Band-4      ...     Band-n
  0.0000   -7.0724   -6.2530   -6.2530   -4.3942   -2.6833    3.6763    5.2491    5.2491    8.4192
  0.0573   -7.0633   -6.2718   -6.2419   -4.3885   -2.6969    3.5459    5.1592    5.4383    8.5230
  0.1146   -7.0392   -6.3271   -6.2116   -4.3774   -2.7483    3.2684    4.9093    5.8888    8.7854
  0.1719   -6.9995   -6.4145   -6.1620   -4.3695   -2.8257    2.9729    4.5536    6.4661    9.1588
  0.2293   -6.9449   -6.5273   -6.0921   -4.3710   -2.9139    2.7108    4.1403    7.1220    9.5987
  0.2866   -6.8770   -6.6631   -6.0021   -4.4002   -3.0049    2.4920    3.6932    7.8179   10.0747
  0.3439   -6.8152   -6.7973   -5.8922   -4.4651   -3.0819    2.3197    3.2281    8.5455   10.5700
  0.4012   -6.9790   -6.7078   -5.7612   -4.5668   -3.1311    2.1903    2.7562    9.2972   11.0722
  0.4585   -7.1507   -6.6121   -5.6084   -4.6998   -3.1538    2.0980    2.2854   10.0624   11.5635
  0.5158   -7.3260   -6.5107   -5.4359   -4.8521   -3.1560    1.8122    2.0360   10.8364   12.0478
  0.5731   -7.5012   -6.4071   -5.2425   -5.0113   -3.1447    1.3432    1.9981   11.6104   12.5057
  0.6304   -7.6720   -6.3046   -5.1685   -5.0290   -3.1260    0.8796    1.9784   12.3747   12.9176
  0.6878   -7.8345   -6.2054   -5.3143   -4.7952   -3.1043    0.4250    1.9722   13.1246   13.2649
  0.7451   -7.9844   -6.1122   -5.4448   -4.5416   -3.0824   -0.0177    1.9768   13.5177   13.8485
  0.8024   -8.1184   -6.0280   -5.5575   -4.2714   -3.0623   -0.4510    1.9849   13.6566   14.5319
  0.8597   -8.2329   -5.9551   -5.6506   -3.9862   -3.0449   -0.8697    1.9956   13.6935   15.1575
  0.9170   -8.3250   -5.8957   -5.7234   -3.6933   -3.0320   -1.2699    2.0058   13.6680   15.7003
  0.9743   -8.3927   -5.8538   -5.7763   -3.3997   -3.0223   -1.6388    2.0125   13.6196   16.1267
  1.0316   -8.4338   -5.8271   -5.8077   -3.1386   -3.0163   -1.9446    2.0181   13.5826   16.4068
  1.0889   -8.4476   -5.8182   -5.8182   -3.0143   -3.0143   -2.0838    2.0201   13.5687   16.5038
  1.0889   -8.4476   -5.8182   -5.8182   -3.0143   -3.0143   -2.0838    2.0201   13.5687   16.5038
  1.1591   -8.4475   -5.8125   -5.8125   -3.0320   -3.0320   -2.2608    2.2413   13.5927   16.5493
  1.2293   -8.4481   -5.7958   -5.7958   -3.0808   -3.0808   -2.7025    2.8175   13.6645   16.6849
  1.2995   -8.4538   -5.7688   -5.7688   -3.2651   -3.1661   -3.1661    3.5986   13.7825   16.9040
  1.3697   -8.4702   -5.7330   -5.7330   -3.8537   -3.2826   -3.2826    4.4992   13.9441   17.1975
  1.4399   -8.5063   -5.6897   -5.6897   -4.4148   -3.4160   -3.4160    5.4766   14.1456   17.5521
  1.5101   -8.5749   -5.6416   -5.6416   -4.9144   -3.5632   -3.5632    6.5000   14.3796   17.9478
  1.5803   -8.6896   -5.5921   -5.5921   -5.3278   -3.7165   -3.7165    7.5517   14.6344   18.3551
  1.6505   -8.8598   -5.6392   -5.5433   -5.5433   -3.8662   -3.8662    8.6211   14.8937   18.7349
  1.7207   -9.0848   -5.8479   -5.5056   -5.5056   -4.0051   -4.0051    9.6904   15.1250   19.0233
  1.7909   -9.3506   -5.9663   -5.4828   -5.4828   -4.1231   -4.1231   10.7508   15.2957   19.1723
  1.8611   -9.6369   -6.0151   -5.4803   -5.4803   -4.2123   -4.2123   11.7906   15.3755   19.1725
  1.9313   -9.9232   -6.0160   -5.5004   -5.5004   -4.2689   -4.2689   12.7946   15.3591   19.0613
